timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Ambient Light-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Pressure-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637330732614,,,96.56907653808594,,33.68032455444336
1637330732659,,,,0.9866339031514079,
1637330732660,131.49170508617192,,,,
1637330732794,,0.0,,,33.73374938964844
1637330732839,,,96.46308898925781,,
1637330732840,,,,0.9866572449950268,
1637330732884,146.69652800710807,,,,
1637330732929,,,,,33.66251754760742
1637330732930,,,96.43659973144531,,
1637330732974,,,,0.9863869313866657,
1637330732975,158.3710396988616,,,,
1637330733109,,0.0,,,33.751556396484375
1637330733154,,,96.38029479980469,0.9866628169189875,
1637330733199,167.61687972262496,,,,
1637330733245,,,96.4664077758789,,33.7159423828125
1637330733289,,,,0.9864300761492258,
1637330733290,186.5585126786544,,,,
1637330733424,,0.0,,,33.751556396484375
1637330733469,,,96.49951934814453,0.9866418092597304,
1637330733515,208.97284486589837,,,,
1637330733559,,,96.56246185302734,,33.69813537597656
1637330733603,,,,0.9866570191062176,
1637330733605,232.25030803882208,,,,
1637330733694,,0.0,,,33.76936340332031
1637330733829,,,96.63532257080078,0.986648811812816,
1637330733874,259.5325831483612,,,,33.73374938964844
1637330733918,,,96.74131774902344,,
1637330733919,,,,0.9866984320545737,
1637330733964,279.99998397827244,,,,
1637330734009,,0.0,,,33.76936340332031
1637330734054,,,96.6684341430664,0.9866393997790988,
1637330734099,306.1224281266563,,,,
1637330734144,,,96.77112579345703,,33.73374938964844
1637330734189,,,,0.9866755419885732,
1637330734190,326.4248454653038,,,,
1637330734279,,0.0,,,33.751556396484375
1637330734324,,,96.76448822021484,0.9864223206334428,
1637330734325,354.4973656770844,,,,
1637330734414,,,96.74131774902344,,33.76936340332031
1637330734415,,,,0.9866791562095207,
1637330734416,385.65628121334447,,,,
1637330734504,,0.0,,,
1637330734505,,,96.82743072509766,,33.80498123168945
1637330734549,406.59339274491816,,,0.9866866858364945,
1637330734639,,,96.8770980834961,0.9866604074383558,33.80498123168945
1637330734641,428.172964031484,,,,
1637330734774,,0.0,96.80091857910156,,33.787174224853516
1637330734775,,,,0.9867122112719359,
1637330734820,448.3733959171901,,,,
1637330734909,,,,,33.76936340332031
1637330734910,,,96.79098510742188,0.9866165097130983,
1637330734911,464.9499278348915,,,,
1637330735044,,0.0,96.79429626464844,,33.7159423828125
1637330735045,,,,0.9864004094189489,
1637330735089,462.8571378124004,,,,
1637330735179,,,96.74461364746094,0.9866329242999012,33.7159423828125
1637330735181,467.0487265548845,,,,
1637330735314,,0.0,,,33.69813537597656
1637330735315,,,96.74793243408203,0.9866509954046385,
1637330735359,484.0579442531229,,,,
1637330735448,,,,,33.76936340332031
1637330735449,,,96.81417846679688,,
1637330735494,,,,0.986696323759021,
1637330735495,492.711360672877,,,,
1637330735584,,0.0,,,33.76936340332031
1637330735585,,,96.84398651123047,,
1637330735586,,,,0.9866994109060804,
1637330735630,492.711360672877,,,,
1637330735719,,,96.85392761230469,,33.787174224853516
1637330735720,,,,0.9866859328737971,
1637330735721,488.3720794840724,,,,
1637330735854,,0.0,,,
1637330735855,,,96.79429626464844,0.9866613862898624,33.76936340332031
1637330735899,481.9102576711703,,,,
1637330735989,,,96.9234619140625,0.9866427881112371,33.76936340332031
1637330735991,481.9102576711703,,,,
1637330736124,,0.0,,,33.76936340332031
1637330736125,,,96.8472900390625,,
1637330736126,,,,0.9864490508092,
1637330736169,462.8571378124004,,,,
1637330736258,,,,,33.76936340332031
1637330736259,,,96.81085205078125,,
1637330736262,456.61453030681747,,,0.9866131966772298,
1637330736393,,0.0,,,
1637330736438,,,,,33.7159423828125
1637330736439,,,96.91023254394531,0.9866893212059354,
1637330736441,458.6894462267708,,,,
1637330736528,,,,,33.751556396484375
1637330736529,,,96.76448822021484,,
1637330736573,,,,0.9866483600351976,
1637330736575,432.16781156046505,,,,
1637330736663,,0.0,,,
1637330736664,,,,,33.76936340332031
1637330736708,,,96.77112579345703,,
1637330736709,,,,0.9866683135466784,
1637330736754,406.59339274491816,,,,
1637330736798,,,,,33.751556396484375
1637330736799,,,96.71812438964844,,
1637330736844,380.05392496390925,,,0.986645950554566,
1637330736934,,0.0,,,33.76936340332031
1637330736978,,,96.721435546875,,
1637330736979,,,,0.9866779514692049,
1637330737024,349.14360299405985,,,,
1637330737068,,,,,33.76936340332031
1637330737069,,,96.62870788574219,,
1637330737113,,,,0.986660633327165,
1637330737114,316.1953882543661,,,,
1637330737204,,0.0,,,33.787174224853516
1637330737248,,,96.57240295410156,,
1637330737249,,,,0.9865654588422156,
1637330737293,289.6725611289809,,,,
1637330737338,,,,,33.787174224853516
1637330737339,,,96.50946044921875,,
1637330737384,,,,0.9866818668752313,
1637330737385,261.0837389361802,,,,
1637330737473,,0.0,,,
1637330737474,,,96.4266586303711,,33.7159423828125
1637330737475,,,,0.9866604074383558,
1637330737519,236.71498184357242,,,,
1637330737608,,,,,33.751556396484375
1637330737609,,,96.28093719482422,0.9866702712496915,
1637330737610,208.97284486589837,,,,
1637330737699,,0.0,,,
1637330737743,,,,,33.751556396484375
1637330737744,,,96.12857818603516,0.9866854810961787,
1637330737789,192.0838256441257,,,,
1637330737878,,,96.019287109375,,33.751556396484375
1637330737879,,,,0.9866300630416512,
1637330737880,178.36594108941287,,,,
1637330737968,,0.0,,,
1637330738013,,,,,33.73374938964844
1637330738014,,,95.88016510009766,,
1637330738015,,,,0.9866594285868492,
1637330738059,150.56180178614952,,,,
1637330738148,,,,,33.73374938964844
1637330738149,,,95.767578125,0.9866401527417962,
1637330738150,126.51265776891282,,,,
1637330738284,,0.0,,,33.69813537597656
1637330738285,,,95.49928283691406,0.9866664311399349,
1637330738329,115.46840766676681,,,,
1637330738419,,,,,33.69813537597656
1637330738420,,,95.50590515136719,0.9863141198938287,
1637330738422,105.8315358751987,,,,
1637330738509,,0.0,,,
1637330738554,,,95.3204345703125,,33.66251754760742
1637330738555,,,,0.9865851864648871,
1637330738599,85.89607565712083,,,,
1637330738690,,,,,33.68032455444336
1637330738691,,,95.15151977539062,0.9866866858364945,
1637330738734,80.16877572611897,,,,
1637330738824,,0.0,,,33.69813537597656
1637330738828,,,95.08529663085938,,
1637330738829,,,,0.9867025733494094,
1637330738869,81.30939818114327,,,,
1637330738958,,,,,33.69813537597656
1637330738959,,,95.00911712646484,0.9866406045194146,
1637330738960,90.5218298052234,,,,
1637330739048,,0.0,,,
1637330739093,,,,,33.7159423828125
1637330739094,,,94.96273040771484,0.9866893212059354,
1637330739139,99.89258871671858,,,,
1637330739228,,,,,33.751556396484375
1637330739229,,,94.86337280273438,0.9866953449075144,
1637330739230,107.02702713737182,,,,
1637330739363,,0.0,,,
1637330739364,,,94.83688354492188,,33.7159423828125
1637330739365,,,,0.9866924083529947,
1637330739408,125.27472422442825,,,,
1637330739498,,,,,33.7159423828125
1637330739499,,,94.76734161376953,0.9865825510954462,
1637330739500,146.69652800710807,,,,
1637330739588,,0.0,,,
1637330739589,,,,,33.73374938964844
1637330739590,,,94.78389739990234,,
1637330739633,,,,0.9864495778830881,
1637330739635,154.45321448932756,,,,
1637330739723,,,,,33.7159423828125
1637330739724,,,94.80045318603516,0.9866719277676258,
1637330739725,170.2857133577308,,,,
1637330739859,,0.0,94.82362365722656,,33.73374938964844
1637330739860,,,,0.9866702712496915,
1637330739904,197.6608156268344,,,,
1637330739994,,,94.95611572265625,0.9866825445416589,33.751556396484375
1637330739996,220.50058943095416,,,,
1637330740084,,0.0,,,
1637330740129,,,95.07865905761719,,33.76936340332031
1637330740130,,,,0.9866572449950268,
1637330740174,248.78047681010858,,,,
