timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer X-0,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer Y-0,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer Z-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637761305297,,0.33935546875,-9.4970703125,-2.62451171875,,28.320194244384766
1637761305342,,,,,79.7406005859375,
1637761305343,53.49794028725878,,,,,
1637761305387,,0.343017578125,-9.503173828125,-2.6416015625,,
1637761305388,,,,,79.77040100097656,28.302387237548828
1637761305433,53.49794028725878,,,,,
1637761305522,,0.345458984375,-9.490966796875,-2.630615234375,,28.28458023071289
1637761305523,,,,,79.73397064208984,
1637761305524,52.41520873637466,,,,,
1637761305612,,0.345458984375,-9.49951171875,-2.626953125,,28.302387237548828
1637761305613,,,,,79.78697204589844,
1637761305614,53.49794028725878,,,,,
1637761305747,,0.33203125,-9.498291015625,-2.628173828125,,
1637761305748,,,,,79.75053405761719,28.266769409179688
1637761305749,53.49794028725878,,,,,
1637761305837,,0.3466796875,-9.51171875,-2.6220703125,,28.266769409179688
1637761305838,,,,,79.75384521484375,
1637761305839,53.49794028725878,,,,,
1637761305928,,0.340576171875,,,,
1637761305929,,,-9.4970703125,-2.63427734375,79.78364562988281,28.28458023071289
1637761305931,53.49794028725878,,,,,
1637761306062,,0.343017578125,-9.500732421875,-2.626953125,,28.302387237548828
1637761306063,,,,,79.77371215820312,
1637761306064,53.49794028725878,,,,,
1637761306153,,0.328369140625,-9.50439453125,-2.625732421875,,
1637761306154,,,,,79.76378631591797,28.28458023071289
1637761306155,53.49794028725878,,,,,
1637761306242,,0.33935546875,-9.500732421875,-2.633056640625,,28.302387237548828
1637761306288,,,,,79.73397064208984,
1637761306289,53.49794028725878,,,,,
1637761306377,,0.340576171875,-9.49462890625,-2.626953125,,28.28458023071289
1637761306378,,,,,79.80352783203125,
1637761306379,53.49794028725878,,,,,
1637761306467,,0.3466796875,-9.501953125,-2.6416015625,,
1637761306468,,,,,79.8366470336914,28.28458023071289
1637761306469,53.49794028725878,,,,,
1637761306649,,0.330810546875,-9.500732421875,-2.628173828125,,28.24896240234375
1637761306650,,,,,79.78697204589844,
1637761306651,53.49794028725878,,,,,
1637761306692,,0.33935546875,-9.498291015625,-2.633056640625,,28.24896240234375
1637761306693,,,,,79.85983276367188,
1637761306738,53.49794028725878,,,,,
1637761306827,,0.33447265625,-9.498291015625,-2.635498046875,,28.266769409179688
1637761306828,,,,,79.80021667480469,
1637761306829,53.49794028725878,,,,,
1637761306918,,0.3369140625,-9.500732421875,-2.63671875,,28.302387237548828
1637761306919,,,,,79.80352783203125,
1637761306963,53.49794028725878,,,,,
1637761307052,,0.340576171875,-9.505615234375,-2.63427734375,,
1637761307053,,,,,,28.266769409179688
1637761307054,,,,,79.8200912475586,
1637761307055,54.58290336470751,,,,,
1637761307142,,0.33935546875,-9.505615234375,-2.62939453125,,28.24896240234375
1637761307143,,,,,79.8366470336914,
1637761307144,54.58290336470751,,,,,
1637761307232,,0.34912109375,-9.49462890625,-2.626953125,,28.266769409179688
1637761307277,,,,,79.82670593261719,
1637761307278,55.670102654918374,,,,,
1637761307368,,0.343017578125,-9.5068359375,-2.6318359375,,
1637761307369,,,,,79.89958190917969,28.231155395507812
1637761307370,54.58290336470751,,,,,
1637761307457,,0.338134765625,-9.505615234375,-2.637939453125,,28.28458023071289
1637761307458,,,,,79.84989166259766,
1637761307459,54.58290336470751,,,,,
1637761307637,,0.338134765625,-9.4970703125,-2.630615234375,,28.320194244384766
1637761307638,,,,,79.8465805053711,
1637761307639,55.670102654918374,,,,,
1637761307682,,0.3466796875,-9.490966796875,-2.62451171875,,
1637761307683,,,,,79.87307739257812,28.266769409179688
1637761307728,55.670102654918374,,,,,
1637761307817,,0.338134765625,-9.500732421875,-2.63671875,,28.266769409179688
1637761307818,,,,,79.8167724609375,
1637761307819,55.670102654918374,,,,,
1637761307908,,0.335693359375,-9.498291015625,-2.62939453125,,
1637761307909,,,,,,28.28458023071289
1637761307952,,,,,79.83001708984375,
1637761307953,55.670102654918374,,,,,
1637761308042,,0.345458984375,-9.498291015625,-2.628173828125,,
1637761308043,,,,,79.9161376953125,28.302387237548828
1637761308044,54.58290336470751,,,,,
1637761308133,,0.335693359375,-9.493408203125,-2.63427734375,,
1637761308134,,,,,,28.266769409179688
1637761308135,,,,,79.83995056152344,
1637761308136,54.58290336470751,,,,,
1637761308267,,0.333251953125,-9.505615234375,-2.635498046875,,28.302387237548828
1637761308268,,,,,79.80352783203125,
1637761308269,55.670102654918374,,,,,
1637761308358,,0.338134765625,-9.501953125,-2.61962890625,,
1637761308359,,,,,,28.266769409179688
1637761308360,,,,,79.9161376953125,
1637761308361,55.670102654918374,,,,,
1637761308447,,0.343017578125,,,,
1637761308448,,,-9.49951171875,-2.635498046875,79.88301086425781,28.302387237548828
1637761308449,55.670102654918374,,,,,
1637761308582,,0.335693359375,,,,
1637761308583,,,-9.500732421875,-2.63427734375,79.866455078125,28.24896240234375
1637761308586,55.670102654918374,,,,,
1637761308717,,0.33447265625,-9.501953125,-2.6318359375,,28.28458023071289
1637761308718,,,,,79.8465805053711,
1637761308719,55.670102654918374,,,,,
1637761308762,,0.340576171875,-9.500732421875,-2.62939453125,,28.28458023071289
1637761308807,,,,,79.87639617919922,
1637761308808,55.670102654918374,,,,,
1637761308898,,0.3369140625,-9.495849609375,-2.62451171875,,
1637761308899,,,,,,28.24896240234375
1637761308942,,,,,79.92607116699219,
1637761308944,55.670102654918374,,,,,
1637761308988,,0.338134765625,-9.508056640625,-2.635498046875,,
1637761308989,,,,,79.93600463867188,28.231155395507812
1637761309032,55.670102654918374,,,,,
1637761309122,,0.338134765625,-9.49462890625,-2.635498046875,,
1637761309123,,,,,79.95919036865234,28.28458023071289
1637761309124,55.670102654918374,,,,,
1637761309212,,0.34423828125,-9.495849609375,-2.633056640625,,28.302387237548828
1637761309257,55.670102654918374,,,,79.95256042480469,
1637761309347,,0.340576171875,-9.50439453125,-2.633056640625,,28.28458023071289
