relative_time,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
34065,1311.5124404073524,
34199,,124.30744171142578
34200,1370.3702917151372,
34290,1409.4118635382276,124.26105499267578
34380,1438.0952413606535,124.30412292480469
34514,,124.31405639648438
34515,1455.6355719193753,
34605,1473.4299482966853,124.3405532836914
34695,1485.4368502238176,124.33391571044922
34829,,124.3405532836914
34830,1503.6675680011615,
34919,,124.42002868652344
34920,1515.970571917542,
35009,,124.38030242919922
35012,1522.1673598606994,
35144,,124.39022064208984
35145,1522.1673598606994,
35235,1528.3949663551552,124.38360595703125
35325,,124.43328857421875
35326,1528.3949663551552,
35460,1522.1673598606994,124.42002868652344
35550,1515.970571917542,124.39022064208984
35639,,124.40017700195312
35684,1509.8039250976992,
35774,,124.40347290039062
35775,1497.5611053656396,
35864,,124.3206787109375
35865,1485.4368502238176,
35954,,124.31074523925781
35955,1473.4299482966853,
36089,,124.33723449707031
36090,1449.7606547438197,
36179,,124.24781799316406
36180,1432.3040375991832,
36270,1415.0942568678886,124.30412292480469
36405,1409.4118635382276,124.29086303710938
36495,1398.1264996103264,124.31074523925781
36585,1392.5233489718019,124.43991088867188
36675,1386.946354958131,124.522705078125
36809,,124.45977783203125
36810,1392.5233489718019,
36899,,124.57901000976562
36903,1386.946354958131,
37034,,124.57571411132812
37035,1392.5233489718019,
37124,,124.62869262695312
37125,1398.1264996103264,
37216,1403.755896041906,124.63201904296875
37304,,124.68832397460938
37305,1415.0942568678886,
37439,,124.70155334472656
37484,1420.803885010623,
37530,,124.75785827636719
37531,1432.3040375991832,
37619,,124.87046813964844
37620,1443.9140799131649,
37754,,124.81416320800781
37755,1461.5384347340064,
37844,,124.90028381347656
37845,1479.418821718086,
37934,,124.84397888183594
37936,1497.5611053656396,
38070,1503.6675680011615,124.93009948730469
38159,,124.90360260009766
38160,1503.6675680011615,
38249,,124.85391235351562
38250,1503.6675680011615,
38339,,124.87379455566406
38340,1503.6675680011615,
38475,1503.6675680011615,124.85061645507812
38610,1497.5611053656396,124.84729766845703
38655,1485.4368502238176,124.85061645507812
38789,,124.86717224121094
38790,1473.4299482966853,
38880,,124.84729766845703
38881,1461.5384347340064,
38970,1426.540366567773,124.85061645507812
39105,1403.755896041906,124.74130249023438
39195,1386.946354958131,124.80422973632812
39285,1381.3954277281036,124.74462890625
39419,,124.82080078125
39420,1370.3702917151372,
39510,1370.3702917151372,124.83404541015625
39600,1359.4470426958273,124.92347717285156
39735,1359.4470426958273,124.94335174560547
39824,,125.0162124633789
39825,1359.4470426958273,
39915,1364.8961400384774,125.12550354003906
40050,,125.15199279785156
40051,1364.8961400384774,
40139,,125.14537811279297
40140,1370.3702917151372,
40229,,125.12218475341797
40233,1381.3954277281036,
40320,1392.5233489718019,125.20500183105469
40455,1403.755896041906,125.28118133544922
40545,1420.803885010623,125.31761169433594
40635,1455.6355719193753,125.22817993164062
40769,,125.28118133544922
40770,1473.4299482966853,
40861,1491.4841503068094,125.38383483886719
40950,,125.33748626708984
40951,1509.8039250976992,
41084,,125.30767822265625
41085,1515.970571917542,
41175,1515.970571917542,125.38383483886719
41265,1522.1673598606994,125.41696166992188
41400,,125.423583984375
41401,1528.3949663551552,
41535,1522.1673598606994,125.34078979492188
41580,,125.36065673828125
41584,1522.1673598606994,
41715,1509.8039250976992,125.38383483886719
41805,1491.4841503068094,125.34740447998047
41894,,125.31429290771484
41895,1473.4299482966853,
42030,,125.30104064941406
42031,1455.6355719193753,
42119,,125.30767822265625
42120,1432.3040375991832,
42209,,125.2414321899414
42210,1420.803885010623,
42344,,125.29441833496094
42345,1409.4118635382276,
42434,,125.31761169433594
42435,1403.755896041906,
42525,1398.1264996103264,125.29773712158203
42615,,125.36727905273438
42616,1386.946354958131,
42750,1381.3954277281036,125.34078979492188
42839,1381.3954277281036,125.45339965820312
42929,,125.45671081542969
42930,1381.3954277281036,
43064,,125.6289291381836
43065,1381.3954277281036,
43155,1381.3954277281036,125.55274963378906
43289,,125.6488037109375
43290,1386.946354958131,
43379,,125.6289291381836
43380,1398.1264996103264,
43470,1409.4118635382276,125.67861938476562
43560,1432.3040375991832,125.698486328125
43695,1449.7606547438197,125.6488037109375
43786,1467.4698563337781,125.69517517089844
43875,1485.4368502238176,125.70178985595703
44011,1491.4841503068094,125.70842742919922
44099,,125.76805114746094
44144,1497.5611053656396,
44189,,125.76141357421875
44191,1503.6675680011615,
44324,,125.72498321533203
44325,1503.6675680011615,
44460,1503.6675680011615,125.76805114746094
44504,,125.6686782836914
44505,1503.6675680011615,
44595,,125.73492431640625
44596,1491.4841503068094,
44730,,125.73159790039062
44731,1485.4368502238176,
44819,,125.67529296875
44865,1473.4299482966853,
44909,,125.61237335205078
44955,1455.6355719193753,
45045,,125.65544128417969
45046,1432.3040375991832,
45135,,125.6488037109375
45136,1420.803885010623,
45224,,125.60905456542969
45225,1409.4118635382276,
45359,,125.58917999267578
45361,1398.1264996103264,
45450,1386.946354958131,125.6488037109375
45539,,125.70178985595703
45540,1381.3954277281036,
45675,1381.3954277281036,125.72166442871094
45764,,125.76805114746094
45765,1375.8700254619196,
45854,,125.81109619140625
45855,1370.3702917151372,
45990,1370.3702917151372,125.78128814697266
46079,,125.79784393310547
46080,1381.3954277281036,
46169,,125.8475341796875
46170,1386.946354958131,
46304,,125.88395690917969
46305,1398.1264996103264,
46394,,125.96345520019531
46395,1409.4118635382276,
46484,,125.96675872802734
46485,1420.803885010623,
46574,,125.96014404296875
46575,1438.0952413606535,
46754,,125.95681762695312
46755,1461.5384347340064,
46800,1473.4299482966853,125.9237060546875
46935,1479.418821718086,125.94358825683594
47069,,125.95352172851562
47070,1491.4841503068094,
47115,1497.5611053656396,125.99989318847656
47204,,125.93364715576172
47205,1497.5611053656396,
47339,,125.9005126953125
47340,1491.4841503068094,
47430,1491.4841503068094,125.8475341796875
47519,,125.8707046508789
47520,1479.418821718086,
47656,1467.4698563337781,125.83427429199219
47745,,125.84420776367188
47746,1449.7606547438197,
47834,,125.82103729248047
47835,1426.540366567773,
47969,,125.80116271972656
47970,1403.755896041906,
48059,,125.76473236083984
48060,1375.8700254619196,
48150,1359.4470426958273,125.71504211425781
48284,,125.73823547363281
48285,1348.623918108385,
48375,,125.66206359863281
48377,1337.899640238259,
48464,,125.78790283203125
48465,1327.272750287017,
48600,1321.9953812312326,125.81439971923828
48690,1316.742037411725,125.83759307861328
48779,,125.81771850585938
48780,1316.742037411725,
48870,1316.742037411725,125.92039489746094
49005,1321.9953812312326,125.91377258300781
49094,,126.01974487304688
49095,1321.9953812312326,
49185,1332.5740054751034,126.00982666015625
49321,,126.02638244628906
49322,1348.623918108385,
49410,1364.8961400384774,125.93364715576172
49499,,126.03631591796875
49500,1381.3954277281036,
49679,,126.04625701904297
49680,1398.1264996103264,
49724,,126.07275390625
49725,1420.803885010623,
49814,,126.02306365966797
49815,1438.0952413606535,
49994,,126.05619812011719
49995,1443.9140799131649,
50039,,126.03631591796875
50040,1449.7606547438197,
50129,,126.01644897460938
50130,1449.7606547438197,
50219,,125.97339630126953
50220,1449.7606547438197,
50355,1443.9140799131649,126.05287170410156
50445,1432.3040375991832,125.96014404296875
50534,,125.95352172851562
50579,1420.803885010623,
50669,,125.88395690917969
50670,1403.755896041906,
50759,,125.90715026855469
50760,1386.946354958131,
50849,,125.83759307861328
50894,1359.4470426958273,
50984,,125.73159790039062
50985,1337.899640238259,
51075,1306.3063175296468,125.75479125976562
51165,1285.7142638187022,125.74153900146484
51299,,125.77134704589844
51300,1275.5555251439418,
51389,,125.73823547363281
51390,1265.4867577043067,
51479,,125.74153900146484
51480,1255.5065492490928,
51615,1255.5065492490928,125.80448150634766
51705,1250.5494236828067,125.83097839355469
51795,1255.5065492490928,125.8707046508789
51930,1255.5065492490928,125.8707046508789
52019,,125.81109619140625
52020,1265.4867577043067,
52109,,125.94026184082031
52110,1275.5555251439418,
52289,,126.00318908691406
52290,1285.7142638187022,
52335,1301.1236035223337,126.00982666015625
52425,,125.98331451416016
52426,1321.9953812312326,
52515,1343.2495154932474,126.03631591796875
52649,,125.9005126953125
52650,1364.8961400384774,
52740,1392.5233489718019,126.05949401855469
52919,,126.06942749023438
52920,1415.0942568678886,
52964,,126.04293823242188
52965,1426.540366567773,
53054,,126.10917663574219
53055,1438.0952413606535,
53144,,126.0992431640625
53145,1443.9140799131649,
53279,,126.05949401855469
53280,1443.9140799131649,
53369,,125.99989318847656
53370,1438.0952413606535,
53459,,125.99327087402344
53460,1426.540366567773,
53595,1409.4118635382276,125.98001098632812
53685,1392.5233489718019,125.94026184082031
53774,,125.91045379638672
53775,1364.8961400384774,
53913,,125.83427429199219
53914,1337.899640238259,
53999,,125.8475341796875
54000,1311.5124404073524,
54090,1280.6235457969112,125.79454040527344
54224,,125.80778503417969
54225,1255.5065492490928,
54314,,125.74153900146484
54315,1240.7003029645084,
54404,,125.76141357421875
54405,1226.0870429473534,
54495,1216.4502384217571,125.81109619140625
54630,1206.8965368406953,125.80116271972656
54719,,125.79454040527344
54720,1202.1505872527102,
54809,,125.78128814697266
54810,1202.1505872527102,
54945,1202.1505872527102,125.77467346191406
55035,1206.8965368406953,125.94358825683594
55125,1221.258075435027,125.88066101074219
55259,,125.82765197753906
55260,1235.8078390325215,
55350,1255.5065492490928,125.93032836914062
55485,,125.96345520019531
55530,1275.5555251439418,
55574,,125.99327087402344
55575,1301.1236035223337,
55664,,125.95020294189453
55665,1327.272750287017,
55756,1354.0229224566535,125.97007751464844
55890,,126.00650787353516
55934,1381.3954277281036,
55980,1392.5233489718019,125.99656677246094
56070,1398.1264996103264,125.98001098632812
56206,1403.755896041906,125.94688415527344
56295,1403.755896041906,126.03961944580078
56384,,125.95352172851562
56385,1403.755896041906,
56475,1392.5233489718019,125.8740234375
56609,,125.85746765136719
56610,1375.8700254619196,
56699,,125.80778503417969
56700,1354.0229224566535,
56790,1327.272750287017,125.79122924804688
56924,,125.73492431640625
56925,1295.9640320346257,
57014,,125.72830200195312
57015,1265.4867577043067,
57105,1245.6140871890423,125.62562561035156
57239,,125.62562561035156
57240,1226.0870429473534,
57330,1211.6631312201926,125.66206359863281
57420,,125.63224792480469
57421,1202.1505872527102,
57554,,125.64218139648438
57556,1197.4248951544064,
57644,,125.71504211425781
57645,1197.4248951544064,
57735,,125.65873718261719
57738,1197.4248951544064,
57870,,125.68193054199219
