timestamp,bluetooth_le-CE:C9:CF:DE:90:5A-Humidity-1
1636222739944,
1636222740034,
1636222740125,1.5686274509804
1636222740126,
1636222740258,
1636222740349,0.784313725490193
1636222740438,
1636222740574,1.5686274509804
1636222740575,
1636222740663,
1636222740798,1.5686274509804
1636222740799,
1636222740843,
1636222740978,3.52941176470588
1636222740979,
1636222741069,
1636222741159,4.31372549019608
1636222741204,
1636222741293,
1636222741383,3.52941176470588
1636222741385,
1636222741518,
1636222741608,3.52941176470588
1636222741609,
1636222741699,
1636222741789,5.49019607843138
1636222741924,
1636222742013,5.49019607843138
1636222742014,
1636222742149,
1636222742239,3.13725490196079
1636222742329,
1636222742419,2.35294117647059
1636222742463,
1636222742554,
1636222742643,2.35294117647059
1636222742644,
1636222742778,
1636222742869,2.35294117647059
1636222742958,
1636222743049,2.35294117647059
1636222743094,
1636222743184,
1636222743274,1.5686274509804
1636222743275,
1636222743409,
1636222743499,2.35294117647059
1636222743589,
1636222743724,7.84313725490196
1636222743814,
1636222743903,4.31372549019608
1636222743904,
1636222744038,
1636222744129,1.5686274509804
1636222744218,
1636222744308,1.17647058823529
1636222744355,
1636222744443,
1636222744534,1.17647058823529
1636222744669,
1636222744758,1.17647058823529
1636222744759,
1636222744849,
1636222744939,1.17647058823529
1636222744984,
1636222745074,
1636222745164,0.392156862745097
1636222745299,
1636222745389,0.784313725490193
1636222745390,
1636222745479,
1636222745569,0.784313725490193
1636222745614,
1636222745704,
1636222745794,1.5686274509804
1636222745929,
1636222746019,1.17647058823529
1636222746108,
1636222746198,1.17647058823529
1636222746243,
1636222746334,
1636222746424,1.17647058823529
1636222746558,
1636222746649,0.392156862745097
1636222746738,
1636222746829,1.17647058823529
1636222746874,
1636222746964,
1636222747053,0.784313725490193
1636222747054,
1636222747190,
1636222747278,1.17647058823529
1636222747279,
1636222747369,
1636222747458,0.784313725490193
1636222747459,
1636222747594,
1636222747684,1.17647058823529
1636222747686,
1636222747819,
1636222747908,0.392156862745097
1636222747909,
1636222747998,
1636222748089,0.392156862745097
1636222748134,
1636222748224,
1636222748314,1.17647058823529
1636222748406,
1636222748539,0.784313725490193
1636222748629,
